TYPE,ENCODEDKEY,PARENTACCOUNTKEY, AMOUNT ,date,
DISBURSMENT,8a9d7e284b75fe4b014b7a06b9090bbd,8a9d7e284b75fe4b014b7a05572a0b1b,"26,312.09",11/2/2015,"26,312.09"
FEE,8a9d7e284b75fe4b014b7a06b9b90bcc,8a9d7e284b75fe4b014b7a05572a0b1b,90,11/2/2015,"26,402.09"
FEES_DUE_REDUCED,8a9c4d914b5d7f57014b7a5078587992,8a9d7e284b75fe4b014b7a05572a0b1b,-67.5,11/2/2015,"26,334.59"
FEES_DUE_REDUCED,8a9c4d914b5d7f57014b7a54f85a7a4f,8a9d7e284b75fe4b014b7a05572a0b1b,-22.5,11/2/2015,"26,312.09"
,,,,,
REPAYMENT,8aa21e054bde4022014be07ee852479c,8a9d7e284b75fe4b014b7a05572a0b1b,"2,400.00",3/3/2015,"23,912.09"
DEFERRED_INTEREST_APPLIED,8aa21e054bde4022014be07ee84c479b,8a9d7e284b75fe4b014b7a05572a0b1b,207.33,3/3/2015,"24,119.42"
,,,,,
INTEREST_APPLIED,8a6f24ec4bc77a9b014be36c3849732f,8a9d7e284b75fe4b014b7a05572a0b1b,184.19,4/3/2015,"24,303.61"
DEFERRED_INTEREST_PAID,8a6f24ec4bc77a9b014be36c38627330,8a9d7e284b75fe4b014b7a05572a0b1b,184.19,4/3/2015,"24,119.42"
,,,,,
DEFERRED_INTEREST_APPLIED,8aa43f104c8d57c3014c90189db1387d,8a9d7e284b75fe4b014b7a05572a0b1b,307.33,6/4/2015,"24,426.75"
REPAYMENT,8aa43f104c8d57c3014c90189db7387e,8a9d7e284b75fe4b014b7a05572a0b1b,"2,500.00",6/4/2015,"21,926.75"
,,,,,
DEFERRED_INTEREST_PAID,8a8d3af24c4d5ff7014c927f32a96a18,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,7/4/2015,"21,663.63"
INTEREST_APPLIED,8a8d3af24c4d5ff7014c927f32a76a17,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,7/4/2015,"21,926.75"
,,,,,
REPAYMENT,8a1ee1164d0a1de5014d0bce98445f60,8a9d7e284b75fe4b014b7a05572a0b1b,"2,500.00",30/04/2015,"19,426.75"
DEFERRED_INTEREST_APPLIED,8a1ee1164d0a1de5014d0bce98415f5f,8a9d7e284b75fe4b014b7a05572a0b1b,307.33,30/04/2015,"19,734.08"
,,,,,
INTEREST_APPLIED,8ae6235e4d068d6a014d186407f02604,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/5/2015,"19,997.20"
DEFERRED_INTEREST_PAID,8ae6235e4d068d6a014d186407f32605,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/5/2015,"19,734.08"
,,,,,
REPAYMENT,8a24a6184db064bc014db10f6bc2391b,8a9d7e284b75fe4b014b7a05572a0b1b,"2,500.00",1/6/2015,"17,234.08"
DEFERRED_INTEREST_APPLIED,8a24a6184db064bc014db10f6bbd3919,8a9d7e284b75fe4b014b7a05572a0b1b,307.33,1/6/2015,"17,541.41"
,,,,,
DEFERRED_INTEREST_PAID,8a0e39c94db07f5e014db809aa164827,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/6/2015,"17,278.29"
INTEREST_APPLIED,8a0e39c94db07f5e014db809aa064826,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/6/2015,"17,541.41"
INTEREST_APPLIED,8a2734654e400c4a014e5287ec590dd6,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/7/2015,"17,804.53"
DEFERRED_INTEREST_PAID,8a2734654e400c4a014e5287ec5a0dd7,8a9d7e284b75fe4b014b7a05572a0b1b,155.77,3/7/2015,"17,648.76"
,,,,,
REPAYMENT,8a6b81dc4ed5a3fd014edbb4f2835119,8a9d7e284b75fe4b014b7a05572a0b1b,"2,500.00",29/07/2015,"15,148.76"
DEFERRED_INTEREST_APPLIED,8a6b81dc4ed5a3fd014edbb4f2725118,8a9d7e284b75fe4b014b7a05572a0b1b,199.98,29/07/2015,"15,348.74"
,,,,,
DEFERRED_INTEREST_APPLIED,8a1a02db4ee571b1014ef59e1fea63be,8a9d7e284b75fe4b014b7a05572a0b1b,63.14,3/8/2015,"15,411.88"
REPAYMENT,8a1a02db4ee571b1014ef59e200a63bf,8a9d7e284b75fe4b014b7a05572a0b1b,"1,125.00",3/8/2015,"14,286.88"
,,,,,
INTEREST_APPLIED,8a10eb704ee43411014ef75509466177,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,4/8/2015,"14,550.00"
