type,id,accountstate,date
loan,8723,CLOSED_WRITTEN_OFF,13/02/2015
loan,8764,CLOSED_WRITTEN_OFF,01/02/2016
loan,8766,CLOSED_WRITTEN_OFF,01/02/2016
loan,8768,CLOSED_WRITTEN_OFF,01/02/2016
loan,8777,CLOSED_WRITTEN_OFF,01/02/2016
loan,8835,CLOSED_WRITTEN_OFF,01/02/2016
loan,11248,CLOSED_WRITTEN_OFF,05/02/2016
loan,11339,CLOSED_WRITTEN_OFF,01/02/2016
loan,11340,CLOSED_WRITTEN_OFF,01/02/2016
loan,11733,CLOSED_WRITTEN_OFF,01/02/2016
loan,12515,CLOSED_WRITTEN_OFF,25/03/2015
loan,12516,CLOSED_WRITTEN_OFF,25/03/2015
loan,12684,CLOSED_WRITTEN_OFF,02/02/2016
loan,12685,CLOSED_WRITTEN_OFF,02/02/2016
loan,12686,CLOSED_WRITTEN_OFF,02/02/2016
loan,12687,CLOSED_WRITTEN_OFF,02/02/2016
loan,12688,CLOSED_WRITTEN_OFF,02/02/2016
loan,12689,CLOSED_WRITTEN_OFF,02/02/2016
loan,12690,CLOSED_WRITTEN_OFF,02/02/2016
loan,12912,CLOSED_WRITTEN_OFF,01/02/2016
loan,12932,CLOSED_WRITTEN_OFF,30/01/2016
loan,13881,CLOSED_WRITTEN_OFF,02/02/2016
loan,13938,CLOSED_WRITTEN_OFF,30/01/2016
loan,13939,CLOSED_WRITTEN_OFF,30/01/2016
loan,13940,CLOSED_WRITTEN_OFF,30/01/2016
loan,13941,CLOSED_WRITTEN_OFF,30/01/2016
loan,13942,CLOSED_WRITTEN_OFF,30/01/2016
loan,13943,CLOSED_WRITTEN_OFF,30/01/2016
loan,13944,CLOSED_WRITTEN_OFF,30/01/2016
loan,13945,CLOSED_WRITTEN_OFF,30/01/2016
loan,13946,CLOSED_WRITTEN_OFF,30/01/2016
loan,13947,CLOSED_WRITTEN_OFF,30/01/2016
loan,14569,CLOSED_WRITTEN_OFF,02/02/2016
loan,14570,CLOSED_WRITTEN_OFF,02/02/2016
loan,14571,CLOSED_WRITTEN_OFF,02/02/2016
loan,14986,CLOSED_WRITTEN_OFF,10/02/2016
loan,15242,CLOSED_WRITTEN_OFF,01/02/2016
loan,15275,CLOSED_WRITTEN_OFF,01/02/2016
loan,15357,CLOSED_WRITTEN_OFF,05/02/2016
loan,15365,CLOSED_WRITTEN_OFF,29/01/2016
loan,15366,CLOSED_WRITTEN_OFF,29/01/2016
loan,15599,CLOSED_WRITTEN_OFF,05/02/2016
loan,15604,CLOSED_WRITTEN_OFF,01/02/2016
loan,15605,CLOSED_WRITTEN_OFF,01/02/2016
loan,15606,CLOSED_WRITTEN_OFF,01/02/2016
loan,15607,CLOSED_WRITTEN_OFF,01/02/2016
loan,15614,CLOSED_WRITTEN_OFF,01/02/2016
loan,15615,CLOSED_WRITTEN_OFF,05/02/2016
loan,15617,CLOSED_WRITTEN_OFF,01/02/2016
loan,15618,CLOSED_WRITTEN_OFF,01/02/2016
loan,15619,CLOSED_WRITTEN_OFF,31/01/2016
loan,15620,CLOSED_WRITTEN_OFF,31/01/2016
loan,15621,CLOSED_WRITTEN_OFF,01/02/2016
loan,15625,CLOSED_WRITTEN_OFF,31/01/2016
loan,15626,CLOSED_WRITTEN_OFF,31/01/2016
loan,15627,CLOSED_WRITTEN_OFF,31/01/2016
loan,15628,CLOSED_WRITTEN_OFF,31/01/2016
loan,15629,CLOSED_WRITTEN_OFF,01/02/2016
loan,15630,CLOSED_WRITTEN_OFF,01/02/2016
loan,15631,CLOSED_WRITTEN_OFF,01/02/2016
loan,15632,CLOSED_WRITTEN_OFF,01/02/2016
loan,15633,CLOSED_WRITTEN_OFF,31/01/2016
loan,15635,CLOSED_WRITTEN_OFF,31/01/2016
loan,15642,CLOSED_WRITTEN_OFF,31/01/2016
loan,15643,CLOSED_WRITTEN_OFF,31/01/2016
loan,15644,CLOSED_WRITTEN_OFF,31/01/2016
loan,15645,CLOSED_WRITTEN_OFF,31/01/2016
loan,15647,CLOSED_WRITTEN_OFF,01/02/2016
loan,15648,CLOSED_WRITTEN_OFF,31/01/2016
loan,15651,CLOSED_WRITTEN_OFF,01/02/2016
loan,15655,CLOSED_WRITTEN_OFF,01/02/2016
loan,15657,CLOSED_WRITTEN_OFF,31/01/2016
loan,15677,CLOSED_WRITTEN_OFF,30/01/2016
loan,15678,CLOSED_WRITTEN_OFF,30/01/2016
loan,15679,CLOSED_WRITTEN_OFF,30/01/2016
loan,15680,CLOSED_WRITTEN_OFF,30/01/2016
loan,15681,CLOSED_WRITTEN_OFF,30/01/2016
loan,15682,CLOSED_WRITTEN_OFF,30/01/2016
loan,15683,CLOSED_WRITTEN_OFF,30/01/2016
loan,15684,CLOSED_WRITTEN_OFF,30/01/2016
loan,15685,CLOSED_WRITTEN_OFF,02/02/2016
loan,15686,CLOSED_WRITTEN_OFF,30/01/2016
loan,15687,CLOSED_WRITTEN_OFF,30/01/2016
loan,15688,CLOSED_WRITTEN_OFF,30/01/2016
loan,15689,CLOSED_WRITTEN_OFF,30/01/2016
loan,15690,CLOSED_WRITTEN_OFF,30/01/2016
loan,15691,CLOSED_WRITTEN_OFF,30/01/2016
loan,15692,CLOSED_WRITTEN_OFF,05/02/2016
loan,15693,CLOSED_WRITTEN_OFF,30/01/2016
loan,15694,CLOSED_WRITTEN_OFF,30/01/2016
loan,15695,CLOSED_WRITTEN_OFF,30/01/2016
loan,15696,CLOSED_WRITTEN_OFF,01/02/2016
loan,15698,CLOSED_WRITTEN_OFF,01/02/2016
loan,15699,CLOSED_WRITTEN_OFF,01/02/2016
loan,15700,CLOSED_WRITTEN_OFF,01/02/2016
loan,15701,CLOSED_WRITTEN_OFF,01/02/2016
loan,15702,CLOSED_WRITTEN_OFF,01/02/2016
loan,15703,CLOSED_WRITTEN_OFF,01/02/2016
loan,15704,CLOSED_WRITTEN_OFF,01/02/2016
loan,15705,CLOSED_WRITTEN_OFF,01/02/2016
loan,15706,CLOSED_WRITTEN_OFF,01/02/2016
loan,15707,CLOSED_WRITTEN_OFF,01/02/2016
loan,15708,CLOSED_WRITTEN_OFF,29/01/2016
loan,15709,CLOSED_WRITTEN_OFF,29/01/2016
loan,15715,CLOSED_WRITTEN_OFF,31/01/2016
loan,15718,CLOSED_WRITTEN_OFF,31/01/2016
loan,15719,CLOSED_WRITTEN_OFF,31/01/2016
loan,15721,CLOSED_WRITTEN_OFF,01/02/2016
loan,15722,CLOSED_WRITTEN_OFF,01/02/2016
loan,15734,CLOSED_WRITTEN_OFF,01/02/2016
loan,15735,CLOSED_WRITTEN_OFF,01/02/2016
loan,15736,CLOSED_WRITTEN_OFF,01/02/2016
loan,15737,CLOSED_WRITTEN_OFF,01/02/2016
loan,15739,CLOSED_WRITTEN_OFF,01/02/2016
loan,15740,CLOSED_WRITTEN_OFF,01/02/2016
loan,15741,CLOSED_WRITTEN_OFF,01/02/2016
loan,15742,CLOSED_WRITTEN_OFF,01/02/2016
loan,15743,CLOSED_WRITTEN_OFF,01/02/2016
loan,15744,CLOSED_WRITTEN_OFF,01/02/2016
loan,15745,CLOSED_WRITTEN_OFF,01/02/2016
loan,15762,CLOSED_WRITTEN_OFF,01/02/2016
loan,15764,CLOSED_WRITTEN_OFF,01/02/2016
loan,15765,CLOSED_WRITTEN_OFF,01/02/2016
loan,15766,CLOSED_WRITTEN_OFF,01/02/2016
loan,15767,CLOSED_WRITTEN_OFF,01/02/2016
loan,15768,CLOSED_WRITTEN_OFF,01/02/2016
loan,15770,CLOSED_WRITTEN_OFF,01/02/2016
loan,15771,CLOSED_WRITTEN_OFF,01/02/2016
loan,15774,CLOSED_WRITTEN_OFF,01/02/2016
loan,15775,CLOSED_WRITTEN_OFF,31/01/2016
loan,15776,CLOSED_WRITTEN_OFF,31/01/2016
loan,15777,CLOSED_WRITTEN_OFF,31/01/2016
loan,15786,CLOSED_WRITTEN_OFF,31/01/2016
loan,15788,CLOSED_WRITTEN_OFF,30/01/2016
loan,15789,CLOSED_WRITTEN_OFF,30/01/2016
loan,15790,CLOSED_WRITTEN_OFF,29/01/2016
loan,15796,CLOSED_WRITTEN_OFF,30/01/2016
loan,15797,CLOSED_WRITTEN_OFF,30/01/2016
loan,15798,CLOSED_WRITTEN_OFF,01/02/2016
loan,15799,CLOSED_WRITTEN_OFF,31/01/2016
loan,15800,CLOSED_WRITTEN_OFF,31/01/2016
loan,15801,CLOSED_WRITTEN_OFF,02/02/2016
loan,15805,CLOSED_WRITTEN_OFF,01/02/2016
loan,15806,CLOSED_WRITTEN_OFF,01/02/2016
loan,15808,CLOSED_WRITTEN_OFF,29/01/2016
loan,15813,CLOSED_WRITTEN_OFF,31/01/2016
loan,15832,CLOSED_WRITTEN_OFF,04/02/2016
loan,15833,CLOSED_WRITTEN_OFF,02/02/2016
loan,15834,CLOSED_WRITTEN_OFF,02/02/2016
loan,15838,CLOSED_WRITTEN_OFF,02/02/2016
loan,15841,CLOSED_WRITTEN_OFF,01/02/2016
loan,15842,CLOSED_WRITTEN_OFF,01/02/2016
loan,15843,CLOSED_WRITTEN_OFF,31/01/2016
loan,15844,CLOSED_WRITTEN_OFF,31/01/2016
loan,15846,CLOSED_WRITTEN_OFF,01/02/2016
loan,15857,CLOSED_WRITTEN_OFF,31/01/2016
loan,15872,CLOSED_WRITTEN_OFF,01/02/2016
loan,15873,CLOSED_WRITTEN_OFF,01/02/2016
loan,15874,CLOSED_WRITTEN_OFF,01/02/2016
loan,15875,CLOSED_WRITTEN_OFF,30/01/2016
loan,15884,CLOSED_WRITTEN_OFF,01/02/2016
loan,15885,CLOSED_WRITTEN_OFF,01/02/2016
loan,15886,CLOSED_WRITTEN_OFF,30/01/2016
loan,15887,CLOSED_WRITTEN_OFF,30/01/2016
loan,15890,CLOSED_WRITTEN_OFF,01/02/2016
loan,15892,CLOSED_WRITTEN_OFF,30/01/2016
loan,15893,CLOSED_WRITTEN_OFF,30/01/2016
loan,15894,CLOSED_WRITTEN_OFF,30/01/2016
loan,15895,CLOSED_WRITTEN_OFF,30/01/2016
loan,15898,CLOSED_WRITTEN_OFF,01/02/2016
loan,15899,CLOSED_WRITTEN_OFF,01/02/2016
loan,15900,CLOSED_WRITTEN_OFF,01/02/2016
loan,15901,CLOSED_WRITTEN_OFF,01/02/2016
loan,15902,CLOSED_WRITTEN_OFF,01/02/2016
loan,15903,CLOSED_WRITTEN_OFF,01/02/2016
loan,15904,CLOSED_WRITTEN_OFF,30/01/2016
loan,15905,CLOSED_WRITTEN_OFF,30/01/2016
loan,15906,CLOSED_WRITTEN_OFF,30/01/2016
loan,15907,CLOSED_WRITTEN_OFF,30/01/2016
loan,15910,CLOSED_WRITTEN_OFF,02/02/2016
loan,15913,CLOSED_WRITTEN_OFF,01/02/2016
loan,15914,CLOSED_WRITTEN_OFF,01/02/2016
loan,15915,CLOSED_WRITTEN_OFF,01/02/2016
loan,15916,CLOSED_WRITTEN_OFF,01/02/2016
loan,15927,CLOSED_WRITTEN_OFF,02/02/2016
loan,15928,CLOSED_WRITTEN_OFF,02/02/2016
loan,15929,CLOSED_WRITTEN_OFF,01/02/2016
loan,15933,CLOSED_WRITTEN_OFF,01/02/2016
loan,15936,CLOSED_WRITTEN_OFF,01/02/2016
loan,15937,CLOSED_WRITTEN_OFF,01/02/2016
loan,15946,CLOSED_WRITTEN_OFF,01/02/2016
loan,15947,CLOSED_WRITTEN_OFF,01/02/2016
loan,15948,CLOSED_WRITTEN_OFF,01/02/2016
loan,15949,CLOSED_WRITTEN_OFF,01/02/2016
loan,15950,CLOSED_WRITTEN_OFF,01/02/2016
loan,15951,CLOSED_WRITTEN_OFF,01/02/2016
loan,15952,CLOSED_WRITTEN_OFF,01/02/2016
loan,15953,CLOSED_WRITTEN_OFF,01/02/2016
loan,15954,CLOSED_WRITTEN_OFF,01/02/2016
loan,15955,CLOSED_WRITTEN_OFF,01/02/2016
loan,15961,CLOSED_WRITTEN_OFF,01/02/2016
loan,15962,CLOSED_WRITTEN_OFF,01/02/2016
loan,18435,CLOSED_WRITTEN_OFF,02/02/2016
loan,18436,CLOSED_WRITTEN_OFF,02/02/2016
