PARENTACCOUNTKEY,PRINCIPALDUE,INTERESTDUE,FEESDUE,date
8a10c7ed49c563400149ca179da65939,7000.0000000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca179dfe593d,4089.4000000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca179e6d5941,768.8800000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca179ed25945,375.0000000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca179f7e5949,10740.0000000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca17a012594d,3201.6100000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca17a0825951,1443.2300000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca22311c5a30,636.9100000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca22311c5a30,636.9100000000,0.0000000000,0.0000000000,2019-01-03
8a10c7ed49c563400149ca22311c5a30,636.9000000000,0.0000000000,0.0000000000,2019-02-03
8a10c7ed49c563400149ca2358425a79,451.7800000000,0.0000000000,0.0000000000,2018-12-03
8a10c7ed49c563400149ca2358425a79,451.7800000000,0.0000000000,0.0000000000,2019-01-03
8a10c7ed49c563400149ca2358425a79,451.7700000000,0.0000000000,0.0000000000,2019-02-03
8a10c7ed49c563400149ca24c53f5ab8,552.2000000000,0.0000000000,0.0000000000,2014-12-03
8a10c7ed49c563400149ca24c53f5ab8,552.2000000000,0.0000000000,0.0000000000,2015-01-03
8a10c7ed49c563400149ca24c53f5ab8,552.2000000000,0.0000000000,0.0000000000,2015-02-03
8a10c7ed49c563400149ca24c53f5ab8,2695.0000000000,0.0000000000,0.0000000000,2015-03-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2014-12-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-01-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-02-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-03-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-04-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-05-03
